time,x,y,s,dis,dir,event,nflId,displayName,jerseyNumber,team,frame.id,gameId,playId
Q1-14:52,35.70,20.40,NA,-1.0,NA,throw,821,Zach Gentry,83,Michigan Wolverines,6,117,1111
Q1-14:52,35.30,21.80,NA,1.4,NA,,821,Zach Gentry,83,Michigan Wolverines,7,117,1111
Q1-14:51,35.30,21.50,NA,-0.3,NA,,821,Zach Gentry,83,Michigan Wolverines,8,117,1111
Q1-14:51,35.90,17.60,NA,-3.9,NA,pass_outcome_complete,821,Zach Gentry,83,Michigan Wolverines,9,117,1111
Q1-14:51,35.75,18.60,NA,1.0,NA,,821,Zach Gentry,83,Michigan Wolverines,10,117,1111
Q1-14:51,35.60,19.60,NA,1.0,NA,,821,Zach Gentry,83,Michigan Wolverines,11,117,1111
Q1-14:50,35.90,16.80,NA,-2.8,NA,,821,Zach Gentry,83,Michigan Wolverines,12,117,1111
Q1-14:50,36.10,13.90,NA,-2.9,NA,,821,Zach Gentry,83,Michigan Wolverines,13,117,1111
Q1-14:49,35.20,11.50,NA,-2.4,NA,,821,Zach Gentry,83,Michigan Wolverines,14,117,1111
Q1-14:49,33.50,10.10,NA,-1.4,NA,,821,Zach Gentry,83,Michigan Wolverines,15,117,1111
Q1-14:48,31.50,9.00,NA,-1.1,NA,,821,Zach Gentry,83,Michigan Wolverines,16,117,1111
Q1-14:48,30.20,8.40,NA,-0.6,NA,,821,Zach Gentry,83,Michigan Wolverines,17,117,1111
Q1-14:48,30.00,8.00,NA,-0.4,NA,tackle,821,Zach Gentry,83,Michigan Wolverines,18,117,1111
Q1-14:54,22.00,26.90,NA,0.0,NA,snap,822,Juwann Bushell-Beatty,76,Michigan Wolverines,1,117,1111
Q1-14:54,21.80,26.48,NA,-0.4,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,2,117,1111
Q1-14:53,21.60,26.06,NA,-0.4,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,3,117,1111
Q1-14:53,21.40,25.64,NA,-0.4,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,4,117,1111
Q1-14:52,21.20,25.22,NA,-0.4,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,5,117,1111
Q1-14:52,21.00,24.80,NA,-0.4,NA,throw,822,Juwann Bushell-Beatty,76,Michigan Wolverines,6,117,1111
Q1-14:52,21.00,24.80,NA,0.0,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,7,117,1111
Q1-14:51,21.00,24.80,NA,0.0,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,8,117,1111
Q1-14:51,21.00,24.80,NA,0.0,NA,pass_outcome_complete,822,Juwann Bushell-Beatty,76,Michigan Wolverines,9,117,1111
Q1-14:51,21.00,24.80,NA,0.0,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,10,117,1111
Q1-14:51,21.00,24.80,NA,0.0,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,11,117,1111
Q1-14:50,21.00,24.80,NA,0.0,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,12,117,1111
Q1-14:50,21.00,24.80,NA,0.0,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,13,117,1111
Q1-14:49,21.00,24.80,NA,0.0,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,14,117,1111
Q1-14:49,21.00,24.80,NA,0.0,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,15,117,1111
Q1-14:48,21.00,24.80,NA,0.0,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,16,117,1111
Q1-14:48,21.00,24.80,NA,0.0,NA,,822,Juwann Bushell-Beatty,76,Michigan Wolverines,17,117,1111
Q1-14:48,21.00,24.80,NA,0.0,NA,tackle,822,Juwann Bushell-Beatty,76,Michigan Wolverines,18,117,1111
Q1-14:54,24.50,25.90,NA,0.0,NA,snap,823,Michael Onwenu,50,Michigan Wolverines,1,117,1111
Q1-14:54,24.46,25.86,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,2,117,1111
Q1-14:53,24.42,25.82,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,3,117,1111
Q1-14:53,24.38,25.78,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,4,117,1111
Q1-14:52,24.34,25.74,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,5,117,1111
Q1-14:52,24.30,25.70,NA,0.0,NA,throw,823,Michael Onwenu,50,Michigan Wolverines,6,117,1111
Q1-14:52,24.30,25.70,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,7,117,1111
Q1-14:51,24.30,25.70,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,8,117,1111
Q1-14:51,24.30,25.70,NA,0.0,NA,pass_outcome_complete,823,Michael Onwenu,50,Michigan Wolverines,9,117,1111
Q1-14:51,24.30,25.70,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,10,117,1111
Q1-14:51,24.30,25.70,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,11,117,1111
Q1-14:50,24.30,25.70,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,12,117,1111
Q1-14:50,24.30,25.70,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,13,117,1111
Q1-14:49,24.30,25.70,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,14,117,1111
Q1-14:49,24.30,25.70,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,15,117,1111
Q1-14:48,24.30,25.70,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,16,117,1111
Q1-14:48,24.30,25.70,NA,0.0,NA,,823,Michael Onwenu,50,Michigan Wolverines,17,117,1111
Q1-14:48,24.30,25.70,NA,0.0,NA,tackle,823,Michael Onwenu,50,Michigan Wolverines,18,117,1111
Q1-14:54,21.10,25.70,NA,0.0,NA,snap,824,Karan Higdon,22,Michigan Wolverines,1,117,1111
Q1-14:54,21.40,25.60,NA,-0.1,NA,,824,Karan Higdon,22,Michigan Wolverines,2,117,1111
Q1-14:53,22.20,25.80,NA,0.2,NA,,824,Karan Higdon,22,Michigan Wolverines,3,117,1111
Q1-14:53,23.90,25.60,NA,-0.2,NA,,824,Karan Higdon,22,Michigan Wolverines,4,117,1111
Q1-14:52,25.90,24.70,NA,-0.9,NA,,824,Karan Higdon,22,Michigan Wolverines,5,117,1111
Q1-14:52,27.60,22.30,NA,-2.4,NA,throw,824,Karan Higdon,22,Michigan Wolverines,6,117,1111
Q1-14:52,27.40,22.80,NA,0.5,NA,,824,Karan Higdon,22,Michigan Wolverines,7,117,1111
Q1-14:51,27.70,21.80,NA,-1.0,NA,,824,Karan Higdon,22,Michigan Wolverines,8,117,1111
Q1-14:51,27.90,21.63,NA,-0.2,NA,pass_outcome_complete,824,Karan Higdon,22,Michigan Wolverines,9,117,1111
Q1-14:51,28.10,21.47,NA,-0.2,NA,,824,Karan Higdon,22,Michigan Wolverines,10,117,1111
Q1-14:51,28.30,21.30,NA,-0.2,NA,,824,Karan Higdon,22,Michigan Wolverines,11,117,1111
Q1-14:50,29.10,20.30,NA,-1.0,NA,,824,Karan Higdon,22,Michigan Wolverines,12,117,1111
Q1-14:50,30.30,18.30,NA,-2.0,NA,,824,Karan Higdon,22,Michigan Wolverines,13,117,1111
Q1-14:49,31.70,14.90,NA,-3.4,NA,,824,Karan Higdon,22,Michigan Wolverines,14,117,1111
Q1-14:49,31.90,12.40,NA,-2.5,NA,,824,Karan Higdon,22,Michigan Wolverines,15,117,1111
Q1-14:48,31.80,10.00,NA,-2.4,NA,,824,Karan Higdon,22,Michigan Wolverines,16,117,1111
Q1-14:48,31.20,8.50,NA,-1.5,NA,,824,Karan Higdon,22,Michigan Wolverines,17,117,1111
Q1-14:48,31.00,8.50,NA,0.0,NA,tackle,824,Karan Higdon,22,Michigan Wolverines,18,117,1111
Q1-14:54,19.20,25.90,NA,0.0,NA,snap,825,Jon Runyan,75,Michigan Wolverines,1,117,1111
Q1-14:54,19.22,27.20,NA,1.3,NA,,825,Jon Runyan,75,Michigan Wolverines,2,117,1111
Q1-14:53,19.24,28.50,NA,1.3,NA,,825,Jon Runyan,75,Michigan Wolverines,3,117,1111
Q1-14:53,19.26,29.80,NA,1.3,NA,,825,Jon Runyan,75,Michigan Wolverines,4,117,1111
Q1-14:52,19.28,31.10,NA,1.3,NA,,825,Jon Runyan,75,Michigan Wolverines,5,117,1111
Q1-14:52,19.30,32.40,NA,1.3,NA,throw,825,Jon Runyan,75,Michigan Wolverines,6,117,1111
Q1-14:52,19.50,33.00,NA,0.6,NA,,825,Jon Runyan,75,Michigan Wolverines,7,117,1111
Q1-14:51,19.50,33.00,NA,0.0,NA,,825,Jon Runyan,75,Michigan Wolverines,8,117,1111
Q1-14:51,19.50,33.00,NA,0.0,NA,pass_outcome_complete,825,Jon Runyan,75,Michigan Wolverines,9,117,1111
Q1-14:51,19.50,33.00,NA,0.0,NA,,825,Jon Runyan,75,Michigan Wolverines,10,117,1111
Q1-14:51,19.50,33.00,NA,0.0,NA,,825,Jon Runyan,75,Michigan Wolverines,11,117,1111
Q1-14:50,19.50,33.00,NA,0.0,NA,,825,Jon Runyan,75,Michigan Wolverines,12,117,1111
Q1-14:50,19.50,33.00,NA,0.0,NA,,825,Jon Runyan,75,Michigan Wolverines,13,117,1111
Q1-14:49,19.50,33.00,NA,0.0,NA,,825,Jon Runyan,75,Michigan Wolverines,14,117,1111
Q1-14:49,19.50,33.00,NA,0.0,NA,,825,Jon Runyan,75,Michigan Wolverines,15,117,1111
Q1-14:48,19.50,33.00,NA,0.0,NA,,825,Jon Runyan,75,Michigan Wolverines,16,117,1111
Q1-14:48,19.50,33.00,NA,0.0,NA,,825,Jon Runyan,75,Michigan Wolverines,17,117,1111
Q1-14:48,19.50,33.00,NA,0.0,NA,tackle,825,Jon Runyan,75,Michigan Wolverines,18,117,1111
Q1-14:54,22.40,26.90,NA,0.0,NA,snap,826,Ben Bredeson,74,Michigan Wolverines,1,117,1111
Q1-14:54,22.40,27.28,NA,0.4,NA,,826,Ben Bredeson,74,Michigan Wolverines,2,117,1111
Q1-14:53,22.40,27.66,NA,0.4,NA,,826,Ben Bredeson,74,Michigan Wolverines,3,117,1111
Q1-14:53,22.40,28.04,NA,0.4,NA,,826,Ben Bredeson,74,Michigan Wolverines,4,117,1111
Q1-14:52,22.40,28.42,NA,0.4,NA,,826,Ben Bredeson,74,Michigan Wolverines,5,117,1111
Q1-14:52,22.40,28.80,NA,0.4,NA,throw,826,Ben Bredeson,74,Michigan Wolverines,6,117,1111
Q1-14:52,22.50,29.00,NA,0.2,NA,,826,Ben Bredeson,74,Michigan Wolverines,7,117,1111
Q1-14:51,22.50,29.00,NA,0.0,NA,,826,Ben Bredeson,74,Michigan Wolverines,8,117,1111
Q1-14:51,22.50,29.00,NA,0.0,NA,pass_outcome_complete,826,Ben Bredeson,74,Michigan Wolverines,9,117,1111
Q1-14:51,22.50,29.00,NA,0.0,NA,,826,Ben Bredeson,74,Michigan Wolverines,10,117,1111
Q1-14:51,22.50,29.00,NA,0.0,NA,,826,Ben Bredeson,74,Michigan Wolverines,11,117,1111
Q1-14:50,22.50,29.00,NA,0.0,NA,,826,Ben Bredeson,74,Michigan Wolverines,12,117,1111
Q1-14:50,22.50,29.00,NA,0.0,NA,,826,Ben Bredeson,74,Michigan Wolverines,13,117,1111
Q1-14:49,22.50,29.00,NA,0.0,NA,,826,Ben Bredeson,74,Michigan Wolverines,14,117,1111
Q1-14:49,22.50,29.00,NA,0.0,NA,,826,Ben Bredeson,74,Michigan Wolverines,15,117,1111
Q1-14:48,22.50,29.00,NA,0.0,NA,,826,Ben Bredeson,74,Michigan Wolverines,16,117,1111
Q1-14:48,22.50,29.00,NA,0.0,NA,,826,Ben Bredeson,74,Michigan Wolverines,17,117,1111
Q1-14:48,22.50,29.00,NA,0.0,NA,tackle,826,Ben Bredeson,74,Michigan Wolverines,18,117,1111
Q1-14:54,22.40,26.90,NA,0.0,NA,snap,827,Cesar Ruiz,51,Michigan Wolverines,1,117,1111
Q1-14:54,22.42,27.82,NA,0.9,NA,,827,Cesar Ruiz,51,Michigan Wolverines,2,117,1111
Q1-14:53,22.44,28.74,NA,0.9,NA,,827,Cesar Ruiz,51,Michigan Wolverines,3,117,1111
Q1-14:53,22.46,29.66,NA,0.9,NA,,827,Cesar Ruiz,51,Michigan Wolverines,4,117,1111
Q1-14:52,22.48,30.58,NA,0.9,NA,,827,Cesar Ruiz,51,Michigan Wolverines,5,117,1111
Q1-14:52,22.50,31.50,NA,0.9,NA,throw,827,Cesar Ruiz,51,Michigan Wolverines,6,117,1111
Q1-14:52,22.50,31.50,NA,0.0,NA,,827,Cesar Ruiz,51,Michigan Wolverines,7,117,1111
Q1-14:51,22.50,31.50,NA,0.0,NA,,827,Cesar Ruiz,51,Michigan Wolverines,8,117,1111
Q1-14:51,22.50,31.50,NA,0.0,NA,pass_outcome_complete,827,Cesar Ruiz,51,Michigan Wolverines,9,117,1111
Q1-14:51,22.50,31.50,NA,0.0,NA,,827,Cesar Ruiz,51,Michigan Wolverines,10,117,1111
Q1-14:51,22.50,31.50,NA,0.0,NA,,827,Cesar Ruiz,51,Michigan Wolverines,11,117,1111
Q1-14:50,22.50,31.50,NA,0.0,NA,,827,Cesar Ruiz,51,Michigan Wolverines,12,117,1111
Q1-14:50,22.50,31.50,NA,0.0,NA,,827,Cesar Ruiz,51,Michigan Wolverines,13,117,1111
Q1-14:49,22.50,31.50,NA,0.0,NA,,827,Cesar Ruiz,51,Michigan Wolverines,14,117,1111
Q1-14:49,22.50,31.50,NA,0.0,NA,,827,Cesar Ruiz,51,Michigan Wolverines,15,117,1111
